"","ID","Description","Count","FoldEnrichment","geneID"
"GO:0033555","GO:0033555","multicellular organismal response to stress",14,4.66924303766409,"Lypd1/Adcyap1/Adra2a/Dbh/Bdnf/Penk/Tac1/Tacr1/Ret/Gabra5/Calca/Slc6a2/Htr2c/Thbs4"
"GO:0046883","GO:0046883","regulation of hormone secretion",23,3.06312360174404,"Sox11/Crhbp/F2rl2/Hmgcr/Isl1/Efna5/Adcyap1/Gal/Adra2a/Lrrc8a/Scg5/Uts2/Epha5/Spp1/Tac1/Tacr1/Jagn1/Nucb2/Sfrp1/Nrg1/Agtr2/Acsl4/Htr2c"
"GO:0007218","GO:0007218","neuropeptide signaling pathway",12,5.26133003601957,"Nts/Sstr2/Adcyap1/Gal/Scg5/Oprl1/Gpr149/Penk/Tac1/Calca/Gpr139/Glra2"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen",18,6.49925057309117,"Resp18/Hsp90b1/P4ha2/Pdia6/Dnajb9/Pcsk1/Dnajb11/Poglut1/Hspa5/Rcn1/Bdnf/Pdia3/Lrpap1/Erp29/Sumf2/Sumf1/Rcn2/Manf"
"GO:0098992","GO:0098992","neuronal dense core vesicle",10,9.90626511852927,"Scg2/Sst/Adcyap1/Syt4/Slc18a2/Bdnf/Penk/Cacna2d1/Syt5/Calca"
"GO:0031045","GO:0031045","dense core granule",11,7.45576795762992,"Scg2/Crhbp/Sst/Adcyap1/Syt4/Slc18a2/Bdnf/Penk/Cacna2d1/Syt5/Calca"
"GO:0140534","GO:0140534","endoplasmic reticulum protein-containing complex",15,4.91115685960985,"Hsp90b1/Sec61g/P4ha2/Pdia6/Dnajb11/Hspa5/Pdia3/Ostc/Pigk/Insig1/Sec11a/Spcs2/Arl6ip1/Tusc3/Stt3a"
"GO:0044306","GO:0044306","neuron projection terminus",18,3.24962528654558,"Nts/Rpl26/Pcsk1/Crhbp/Sncg/Adcyap1/Syt4/Adra2a/Slc18a2/Dbh/Bdnf/Flrt3/Penk/Calca/Scrg1/Tpbg/Slc9a6/Prph"
"GO:0005790","GO:0005790","smooth endoplasmic reticulum",7,7.95414816870144,"Hsp90b1/Canx/Pdia6/Hspa5/Pdia3/Erp29/Prdx4"
"GO:0034774","GO:0034774","secretory granule lumen",5,12.0732606132075,"Pcsk1/Adcyap1/Dbh/Serpini1/Penk"
"GO:0043679","GO:0043679","axon terminus",16,3.20285462899599,"Nts/Rpl26/Pcsk1/Crhbp/Sncg/Adcyap1/Adra2a/Slc18a2/Dbh/Bdnf/Flrt3/Penk/Calca/Tpbg/Slc9a6/Prph"
"GO:1902711","GO:1902711","GABA-A receptor complex",5,11.3630688124306,"Gabrg2/Gabra5/Gabre/Gabrq/Gabra3"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen",5,10.73178721174,"Pcsk1/Adcyap1/Dbh/Serpini1/Penk"
"GO:0098982","GO:0098982","GABA-ergic synapse",14,3.29806143580304,"Atp2b1/Gabrg2/Abhd6/Sst/Efna5/Adra2a/Cbln4/Cacna2d1/Gabra5/Nrg1/Cdh13/Gabre/Gabra3/Glra2"
"GO:0031983","GO:0031983","vesicle lumen",5,10.166956305859,"Pcsk1/Adcyap1/Dbh/Serpini1/Penk"
"GO:1902710","GO:1902710","GABA receptor complex",5,10.166956305859,"Gabrg2/Gabra5/Gabre/Gabrq/Gabra3"
"GO:0044391","GO:0044391","ribosomal subunit",15,3.11568015824711,"Rpl31/Rps12/Mrpl42/Rpl26/Rps7/Rpl36al/Rplp2-ps1/Mrpl32/Rps14/Rpl13-ps6/Mrps21/Mrps18c/Rpl6/Rps19/Rps16"
"GO:0005791","GO:0005791","rough endoplasmic reticulum",8,5.32888744307092,"Resp18/Sec61g/Ccdc47/Alg5/Lrpap1/Epha5/Rpl6/Arl6ip1"
"GO:0034663","GO:0034663","endoplasmic reticulum chaperone complex",4,14.048885077187,"Hsp90b1/Pdia6/Dnajb11/Hspa5"
"GO:0034707","GO:0034707","chloride channel complex",7,5.87915299425759,"Ostm1/Gabrg2/Slc17a6/Gabra5/Gabrq/Gabra3/Glra2"
"GO:0022626","GO:0022626","cytosolic ribosome",11,3.57125019819249,"Rpl31/Rps12/Rpl26/Rps7/Rpl36al/Rplp2-ps1/Rps14/Rpl13-ps6/Rpl6/Rps19/Rps16"
"GO:0030545","GO:0030545","signaling receptor regulator activity",29,3.05341025037281,"Scg2/Lypd1/Nenf/Nts/Ccl12/F2rl2/Sst/Uts2b/Efna5/Adcyap1/Gal/Bdnf/Jag1/Flrt3/Penk/Uts2/Sema3e/Sema3c/Lrpap1/Spp1/Tac1/Calcb/Nrg1/Gdf1/Apoa1/Mrap2/Manf/Wfikkn2/Thbs4"
"GO:0048018","GO:0048018","receptor ligand activity",26,3.04899689671751,"Scg2/Nenf/Nts/Ccl12/F2rl2/Sst/Uts2b/Efna5/Adcyap1/Gal/Bdnf/Jag1/Flrt3/Penk/Uts2/Sema3e/Sema3c/Lrpap1/Spp1/Tac1/Calcb/Nrg1/Gdf1/Apoa1/Manf/Thbs4"
"GO:0008509","GO:0008509","monoatomic anion transmembrane transporter activity",14,4.12293507491356,"Gabrg2/Slc18a2/Lrrc8a/Mcoln3/Slc17a6/Gabra5/Slc6a2/Panx1/Clcn5/Slc25a14/Gabre/Gabrq/Gabra3/Glra2"
"GO:0005253","GO:0005253","monoatomic anion channel activity",11,4.95226109572951,"Gabrg2/Lrrc8a/Mcoln3/Slc17a6/Gabra5/Panx1/Clcn5/Gabre/Gabrq/Gabra3/Glra2"
"GO:0022851","GO:0022851","GABA-gated chloride ion channel activity",5,12.2399635036496,"Gabrg2/Gabra5/Gabre/Gabrq/Gabra3"
"GO:0004890","GO:0004890","GABA-A receptor activity",5,11.5199656504938,"Gabrg2/Gabra5/Gabre/Gabrq/Gabra3"
"GO:0045499","GO:0045499","chemorepellent activity",6,8.1036999748301,"Efna5/Flrt3/Sema3e/Sema3c/Nrg1/Apoa1"
"GO:0015108","GO:0015108","chloride transmembrane transporter activity",11,3.95272215897676,"Gabrg2/Slc18a2/Slc17a6/Gabra5/Slc6a2/Clcn5/Slc25a14/Gabre/Gabrq/Gabra3/Glra2"
"GO:0016917","GO:0016917","GABA receptor activity",5,9.79197080291971,"Gabrg2/Gabra5/Gabre/Gabrq/Gabra3"
"GO:0008503","GO:0008503","benzodiazepine receptor activity",4,14.2428666224287,"Gabrg2/Gabra5/Gabre/Gabra3"
"GO:0015103","GO:0015103","inorganic anion transmembrane transporter activity",12,3.4815896188159,"Gabrg2/Mfsd5/Slc18a2/Slc17a6/Gabra5/Slc6a2/Clcn5/Slc25a14/Gabre/Gabrq/Gabra3/Glra2"
"GO:0003735","GO:0003735","structural constituent of ribosome",13,3.22267393513813,"Rpl31/Rps12/Rpl26/Rps7/Rpl36al/Mrpl32/Rps14/Rpl13-ps6/Mrps21/Mrps18c/Rpl6/Rps19/Rps16"
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors",7,5.59541188738269,"Qsox1/Pdia6/Msrb1/Tmx2/Pdia3/Tmx4/Sumf1"
